Player;Team;Matchweek 1;Matchweek 2;Matchweek 3;Matchweek 4;Matchweek 5;Matchweek 6;Matchweek 7;Matchweek 8;Matchweek 9;Matchweek 10;Matchweek 11;Matchweek 12;Sum
Jakub Pałach;Pychowianka Kraków;1;;;;;;;;;;;;1
Mariusz Szczyrbak;Kolejarz-Prokocim II Kraków;1;;;;;;;;;;;;1
Michał Niźnik;Kolejarz-Prokocim II Kraków;1;;;;;;;;;;;;1
Kacper Michalski;Płomień II Kostrze;;1;;;;;;;;;;;1
Rekai Tanaka Musiyazviriyo;Płomień II Kostrze;;1;;;;;;;;;;;1
Krystian Szkarłat;Płomień II Kostrze;;1;;;;;;;;;;;1
Jakub Kapela;Krakus Swoszowice;;1;;;;;;;;;;;1
Szymon Robaczyński;Kolejarz-Prokocim II Kraków;;1;;;;;;;;;;;1
Wojciech Socha;Kolejarz-Prokocim II Kraków;;1;;;;;;;;;;;1
Marcin Kotylka;Opatkowianka Kraków;;1;;;;;;;;;;;1
Łukasz Zdebski;Pychowianka Kraków;;1;;;;;;;;;;;1
Filip Kuryło;Universum Kraków;;1;;;;;;;;;;;1
Mateusz Lasoń;Victoria Kraków;;1;;;;;;;;;;;1
Kamil Rojewski;Tramwaj II Kraków;;;1;;;;;;;;;;1
Marcin Dulemba;Opatkowianka Kraków;;;1;;;;;;;;;;1
Łukasz Szostak;Klub Sportowy Tyniec;;;1;;;;;;;;;;1
Kamil Jurczyk;Pychowianka Kraków;;;1;;;;;;;;;;1
Michał Pal;Płomień II Kostrze;;;1;;;;;;;;;;1
Jan Nęciński;Płomień II Kostrze;;;1;;;;;;;;;;1
Adam Augustyn;Victoria Kraków;;;1;;;;;;;;;;1
Łukasz Małecki;Kolejarz-Prokocim II Kraków;;;1;;;;;;;;;;1
Maciej Chmura;Płomień II Kostrze;;;;1;;;;;;;;;1
Maciej Komorowski;Płomień II Kostrze;;;;1;;;;;;;;;1
Mateusz Chorązki;Pychowianka Kraków;;;;1;;;;;;;;;1
Paweł Półtorak;Krakus Swoszowice;;;;1;;;;;;;;;1
Laszlo Gerlei Gonzalez;Krakus Swoszowice;;;;1;;;;;;;;;1
Szymon Porębski;Albertus Kraków;;;;1;;;;;;;;;1
Michał Tabuła;Albertus Kraków;;;;1;;;;;;;;;1
Bartłomiej Białoskórski;Pogoń II Skotniki;;;;;1;;;;;;;;1
Munyaradzi Mwakanya;Pogoń II Skotniki;;;;;1;;;;;;;;1
Rafał Kwieciński;Victoria Kraków;;;;;1;;;;;;;;1
Jakub Hazior;Tramwaj II Kraków;;;;;1;;;;;;;;1
Szymon Moskal;Tramwaj II Kraków;;;;;1;;;;;;;;1
Konrad Konik;Pychowianka Kraków;;;;;1;;;;;;;;1
Hubert Machalski;Bieżanowianka II Kraków;;;;;;1;;;;;;;1
Krzystof Wronka;Płomień II Kostrze;;;;;;1;;;;;;;1
Tymoteusz Lipowicz;Victoria Kraków;;;;;;1;;;;;;;1
Mariusz Kurleto;Opatkowianka Kraków;;;;;;1;;;;;;;1
Filip Jamróz;Pogoń II Skotniki;;;;;;;1;;;;;;1
Kamil Misiura;Krakus Swoszowice;;;;;;;1;;;;;;1
Piotr Dusiło;Bieżanowianka II Kraków;;;;;;;;1;;;;;1
Tomasz Wojdyła;Pychowianka Kraków;;;;;;;;1;;;;;1
Rafał Mrowiec;Victoria Kraków;;;;;;;;1;;;;;1
Marcin Satoła;Victoria Kraków;;;;;;;;1;;;;;1
Kamil Juras;Bieżanowianka II Kraków;;;;;;;;;1;;;;1
Adrian Filipek;Pogoń II Skotniki;;;;;;;;;1;;;;1
Dogukan Ozdemir;Klub Sportowy Tyniec;;;;;;;;;1;;;;1
Szymon Jachymek;Kolejarz-Prokocim II Kraków;;;;;;;;;1;;;;1
Dariusz Tomczuk;Kolejarz-Prokocim II Kraków;;;;;;;;;1;;;;1
Bartosz Trojanowski;Kolejarz-Prokocim II Kraków;;;;;;;;;1;;;;1
Bartłomiej Żurek;Płomień II Kostrze;;;;;;;;;1;;;;1
Andrzej Stryszowski;Płomień II Kostrze;;;;;;;;;1;;;;1
Mateusz Dziedzic;Pogoń II Skotniki;;;;;;;;;;1;;;1
Grzegorz Misina;Universum Kraków;;;;;;;;;;1;;;1
Adrian Łukaszewski;Krakus Swoszowice;;;;;;;;;;1;;;1
Radosław Piotrowski;Krakus Swoszowice;;;;;;;;;;1;;;1
Bartłomiej Zając;Krakus Swoszowice;;;;;;;;;;1;;;1
Jakub Kukułka;Klub Sportowy Tyniec;;;;;;;;;;;1;;1
Patryk Toczek;Opatkowianka Kraków;;;;;;;;;;;1;;1
Mateusz Ostrowski;Pogoń II Skotniki;;;;;;;;;;;1;;1
Krystian Siemieński;Kolejarz-Prokocim II Kraków;;;;;;;;;;;;1;1
Szymon Malina;Tramwaj II Kraków;;;;;;;;;;;;1;1
